,train,val,test
0,54871,77438.0,84225.0
1,56194,97813.0,74089.0
2,56242,98951.0,109400.0
3,56350,62034.0,116630.0
4,72594,62804.0,90182.0
5,72940,93825.0,102282.0
6,73139,69995.0,86971.0
7,73693,103414.0,90160.0
8,74148,88907.0,75979.0
9,75567,60001.0,112837.0
10,76621,61535.0,117697.0
11,77770,112814.0,109978.0
12,78775,113034.0,82759.0
13,83994,116705.0,111323.0
14,84334,92063.0,89398.0
15,88506,,
16,90599,,
17,91576,,
18,91685,,
19,92761,,
20,96584,,
21,98373,,
22,102184,,
23,105144,,
24,106054,,
25,108217,,
26,112233,,
27,113638,,
28,114885,,
29,115692,,
30,116736,,
31,119072,,
32,120829,,
33,48777,,
34,49061,,
35,50181,,
36,52101,,
37,52493,,
38,52933,,
39,56431,,
40,59890,,
41,71666,,
42,72390,,
43,74567,,
44,77237,,
45,78668,,
46,79372,,
47,82128,,
48,82558,,
49,82752,,
50,83810,,
51,86505,,
52,86769,,
53,89525,,
54,89914,,
55,90672,,
56,91241,,
57,91356,,
58,91629,,
59,92004,,
60,93762,,
61,93966,,
62,94440,,
63,99498,,
64,106226,,
65,111813,,
66,113428,,
67,120464,,
68,121585,,
