,train,val,test
56194,True,False,False
56242,True,False,False
62804,True,False,False
69995,True,False,False
72594,True,False,False
72940,True,False,False
73139,True,False,False
74148,True,False,False
75979,True,False,False
76621,True,False,False
77438,True,False,False
77770,True,False,False
83994,True,False,False
84225,True,False,False
84334,True,False,False
88907,True,False,False
90182,True,False,False
90599,True,False,False
91685,True,False,False
96584,True,False,False
98951,True,False,False
102282,True,False,False
103414,True,False,False
106054,True,False,False
108217,True,False,False
109400,True,False,False
112233,True,False,False
113638,True,False,False
115692,True,False,False
116630,True,False,False
116736,True,False,False
119072,True,False,False
120829,True,False,False
48777,True,False,False
50181,True,False,False
52101,True,False,False
52493,True,False,False
52933,True,False,False
56431,True,False,False
61535,True,False,False
71666,True,False,False
72390,True,False,False
74567,True,False,False
78668,True,False,False
79372,True,False,False
82128,True,False,False
82558,True,False,False
82752,True,False,False
83810,True,False,False
86505,True,False,False
86769,True,False,False
89914,True,False,False
90672,True,False,False
91241,True,False,False
91356,True,False,False
91629,True,False,False
92004,True,False,False
93762,True,False,False
93966,True,False,False
94440,True,False,False
99498,True,False,False
106226,True,False,False
111813,True,False,False
113034,True,False,False
113428,True,False,False
116705,True,False,False
117697,True,False,False
120464,True,False,False
121585,True,False,False
56350,False,True,False
112837,False,True,False
88506,False,True,False
92761,False,True,False
114885,False,True,False
97813,False,True,False
54871,False,True,False
86971,False,True,False
90160,False,True,False
105144,False,True,False
112814,False,True,False
111323,False,True,False
59890,False,True,False
92063,False,True,False
49061,False,True,False
62034,False,False,True
75567,False,False,True
91576,False,False,True
93825,False,False,True
73693,False,False,True
102184,False,False,True
98373,False,False,True
74089,False,False,True
78775,False,False,True
60001,False,False,True
82759,False,False,True
89525,False,False,True
77237,False,False,True
109978,False,False,True
89398,False,False,True
